,rank_year,ranks,title,author,no_of_reviews,ratings,price,cover_type,genre
419,2013,27.0,The Legend of Zelda: Hyrule Historia,Patrick Thorpe,9588.0,4.9,32.0,Hardcover,Fiction
420,2013,28.0,Doctor Sleep: A Novel,Stephen King,23805.0,4.7,16.0,Hardcover,Fiction
421,2013,29.0,Knock-Knock Jokes for Kids (Laugh-Out-Loud Jokes for Kids),Rob Elliott,5687.0,4.5,4.44,Paperback,Fiction
422,2013,30.0,The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,42846.0,4.0,22.33,Hardcover,Fiction
423,2013,31.0,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,86676.0,4.7,7.74,Paperback,Non Fiction
424,2013,32.0,Gone Girl,Gillian Flynn,66978.0,4.1,15.21,Hardcover,Fiction
425,2013,33.0,George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,6506.0,4.7,17.2,Hardcover,Non Fiction
426,2013,34.0,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,20015.0,4.6,13.47,Paperback,Non Fiction
427,2013,35.0,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,20089.0,4.9,14.48,Hardcover,Fiction
428,2013,36.0,Sycamore Row (Jake Brigance),John Grisham,36455.0,4.6,14.61,Hardcover,Fiction
429,2013,37.0,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,8638.0,4.4,13.96,Hardcover,Non Fiction
430,2013,38.0,"The Pioneer Woman Cooksâ€•A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",Ree Drummond,4883.0,4.8,14.39,Hardcover,Non Fiction
431,2013,39.0,The Day the Crayons Quit,Drew Daywalt,19898.0,4.8,9.19,Hardcover,Fiction
432,2013,40.0,"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4798.0,4.8,13.15,Hardcover,Non Fiction
433,2013,41.0,The Very Hungry Caterpillar,Eric Carle,54008.0,4.9,4.93,Board book,Fiction
434,2013,42.0,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,2913.0,4.8,12.9,Hardcover,Non Fiction
435,2013,43.0,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,1676.0,4.6,19.99,Paperback,Non Fiction
436,2013,44.0,Joyland (Hard Case Crime),Stephen King,10723.0,4.6,9.66,Paperback,Fiction
437,2013,45.0,"Fifty Shades Of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades Of Grey Series, 1)",E L James,60233.0,4.0,13.99,Paperback,Fiction
438,2013,46.0,"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual, Mental, Emotional, and Physical Bodies",Zhi Gang Sha,278.0,4.6,15.29,Hardcover,Non Fiction
439,2013,47.0,Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,3106.0,4.1,15.95,Hardcover,Non Fiction
